stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
DESCHUTES R  13.0028,DES,GEORGE ADAMS HATCHERY,PONCIN COVE-ZITTLE'S,Fall,1,1987-1987,17
DESCHUTES R  13.0028,DES,PERCIVAL COVE NET PN,CAPITOL LK (THUR),Fall,10,1992-2001,695
DESCHUTES R  13.0028,DES,SOUTH SOUND NET PENS,PONCIN COVE-ZITTLE'S,Fall,1,1990-1990,6
DESCHUTES R  13.0028,DES,TUMWATER FALLS HATCHERY,DESCHUTES R  13.0028,Fall,6,2000-2007,1106
DESCHUTES R  13.0028,DES,TUMWATER FALLS HATCHERY,DESCHUTES R +CAPITOL,Fall,3,2002-2005,148
DESCHUTES R  13.0028,DES,ZITTEL'S MARINA PENS,PONCIN COVE-ZITTLE'S,Fall,1,1988-1988,30
DESCHUTES R  13.0028,DES,NA,DESCHUTES R  13.0028,Fall,1,2002-2002,9
DESCHUTES R  13.0028,EKPN,GROVERS CR HATCHERY,GROVERS CR   15.0299,Fall,1,1981-1981,815
DESCHUTES R  13.0028,EKPS,COULTER CR REARING POND,COULTER CR   15.0002,Fall,1,1979-1979,64
DESCHUTES R  13.0028,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Fall,6,1988-1997,802
DESCHUTES R  13.0028,EKPS,HUPP SPRINGS REARING,HUPP SPRINGS REARING,Fall,1,1979-1979,22
DESCHUTES R  13.0028,EKPS,SOUTH SOUND NET PENS,PEALE PASS @ SS PENS,Fall,11,1986-1997,2268
DESCHUTES R  13.0028,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,2,1984-1985,229
DESCHUTES R  13.0028,PUYA,PUYALLUP TRIBAL HATCHERY,CLARKS CR    10.0027,Fall,1,1984-1984,16
DESCHUTES R  13.0028,SKDO,GEORGE ADAMS HATCHERY,BROWN CR     16.0047,Fall,1,1975-1975,45
DESCHUTES R  13.0028,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,1,1975-1975,49
DESCHUTES R  13.0028,SKDO,GLENN A/HOODSP/HC-NP,SUND ROCK NET PENS,Fall,1,1992-1992,72
DESCHUTES R  13.0028,SKDO,GLENN AYR NET PENS,SUND ROCK NET PENS,Fall,1,1990-1990,1
DESCHUTES R  13.0028,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,2,1974-1987,206
DESCHUTES R  13.0028,SKDO,HOODSPORT MARINA NP,SUND ROCK NET PENS,Fall,1,1990-1990,7
DESCHUTES R  13.0028,SKDO,PLEASANT HARBOR NP,PLEASANT HRBR MAR NP,Fall,1,1990-1990,6
DESCHUTES R  13.0028,SKDO,SUND ROCK NET PENS,SUND ROCK NET PENS,Fall,1,1992-1992,248
DESCHUTES R  13.0028,SPSG,MCKERNAN HATCHERY,SOUTH SOUND STREAMS,Fall,1,1990-1990,28
DESCHUTES R  13.0028,WKIT,BIG BEEF CR HATCHERY,BIG BEEF CR  15.0389,Fall,2,1982-1983,1117
DESCHUTES R  13.0028,WKIT,HOOD CANAL MARINA NP,UNION R      15.0503,Fall,1,1990-1990,3
DESCHUTES R X MINTER,DES,MINTER CR HATCHERY,DESCHUTES R  13.0028,Fall,1,1978-1978,30
DESCHUTES X HOOD CNL,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1974-1974,436
