"Year","StockName","SeriesLabel","Values"
2012,"Unuk","Esc",956
2013,"Unuk","Esc",1135
2014,"Unuk","Esc",1691
2015,"Unuk","Esc",2623
2016,"Unuk","Esc",1463
2017,"Unuk","Esc",1203
2018,"Unuk","Esc",1971
2019,"Unuk","Esc",3115
2020,"Unuk","Esc",1135
2021,"Unuk","Esc",2666
2022,"Unuk","Esc",1304
1975,"Nass","Esc",14895
1976,"Nass","Esc",13819
1977,"Nass","Esc",14288
1978,"Nass","Esc",16885
1979,"Nass","Esc",12783
1980,"Nass","Esc",14855
1981,"Nass","Esc",13925
1982,"Nass","Esc",10359
1983,"Nass","Esc",16301
1984,"Nass","Esc",24967
1985,"Nass","Esc",19694
1986,"Nass","Esc",38661
1987,"Nass","Esc",21470
1988,"Nass","Esc",16848
1989,"Nass","Esc",29201
1990,"Nass","Esc",26511
1991,"Nass","Esc",7926
1992,"Nass","Esc",17716
1993,"Nass","Esc",25853
1994,"Nass","Esc",24872
1995,"Nass","Esc",8817
1996,"Nass","Esc",22950
1997,"Nass","Esc",20337
1998,"Nass","Esc",24675
1999,"Nass","Esc",12526
2000,"Nass","Esc",19348
2001,"Nass","Esc",32340
2002,"Nass","Esc",14804
2003,"Nass","Esc",28274
2004,"Nass","Esc",16875
2005,"Nass","Esc",15571
2006,"Nass","Esc",28061
2007,"Nass","Esc",24964
2008,"Nass","Esc",22138
2009,"Nass","Esc",29576
2010,"Nass","Esc",20729
2011,"Nass","Esc",10826
2012,"Nass","Esc",9797
2013,"Nass","Esc",9034
2014,"Nass","Esc",12979
2015,"Nass","Esc",20595
2016,"Nass","Esc",10192
2017,"Nass","Esc",4984
2018,"Nass","Esc",16319
2019,"Nass","Esc",11833
2020,"Nass","Esc",14315
2021,"Nass","Esc",12742
2022,"Nass","Esc",17990
1975,"Skeena","Esc Index",20319
1975,"Skeena","GSI Esc",NA
1976,"Skeena","Esc Index",13078
1976,"Skeena","GSI Esc",NA
1977,"Skeena","Esc Index",29018
1977,"Skeena","GSI Esc",NA
1978,"Skeena","Esc Index",22661
1978,"Skeena","GSI Esc",NA
1979,"Skeena","Esc Index",17507
1979,"Skeena","GSI Esc",NA
1980,"Skeena","Esc Index",20770
1980,"Skeena","GSI Esc",NA
1981,"Skeena","Esc Index",24928
1981,"Skeena","GSI Esc",NA
1982,"Skeena","Esc Index",17458
1982,"Skeena","GSI Esc",NA
1983,"Skeena","Esc Index",24238
1983,"Skeena","GSI Esc",NA
1984,"Skeena","Esc Index",37598
1984,"Skeena","GSI Esc",37792
1985,"Skeena","Esc Index",53599
1985,"Skeena","GSI Esc",34728
1986,"Skeena","Esc Index",59968
1986,"Skeena","GSI Esc",23987
1987,"Skeena","Esc Index",59120
1987,"Skeena","GSI Esc",96457
1988,"Skeena","Esc Index",68705
1988,"Skeena","GSI Esc",61199
1989,"Skeena","Esc Index",57202
1989,"Skeena","GSI Esc",71957
1990,"Skeena","Esc Index",55976
1990,"Skeena","GSI Esc",34554
1991,"Skeena","Esc Index",52753
1991,"Skeena","GSI Esc",41818
1992,"Skeena","Esc Index",63392
1992,"Skeena","GSI Esc",89002
1993,"Skeena","Esc Index",66977
1993,"Skeena","GSI Esc",111702
1994,"Skeena","Esc Index",48782
1994,"Skeena","GSI Esc",87631
1995,"Skeena","Esc Index",34390
1995,"Skeena","GSI Esc",55615
1996,"Skeena","Esc Index",73684
1996,"Skeena","GSI Esc",103124
1997,"Skeena","Esc Index",42539
1997,"Skeena","GSI Esc",49420
1998,"Skeena","Esc Index",46744
1998,"Skeena","GSI Esc",39343
1999,"Skeena","Esc Index",43775
1999,"Skeena","GSI Esc",48290
2000,"Skeena","Esc Index",51720
2000,"Skeena","GSI Esc",62279
2001,"Skeena","Esc Index",81504
2001,"Skeena","GSI Esc",106165
2002,"Skeena","Esc Index",44771
2002,"Skeena","GSI Esc",38695
2003,"Skeena","Esc Index",56758
2003,"Skeena","GSI Esc",82184
2004,"Skeena","Esc Index",44243
2004,"Skeena","GSI Esc",105887
2005,"Skeena","Esc Index",29496
2005,"Skeena","GSI Esc",56961
2006,"Skeena","Esc Index",33094
2006,"Skeena","GSI Esc",55156
2007,"Skeena","Esc Index",33352
2007,"Skeena","GSI Esc",62320
2008,"Skeena","Esc Index",32963
2008,"Skeena","GSI Esc",44901
2009,"Skeena","Esc Index",38297
2009,"Skeena","GSI Esc",61888
2010,"Skeena","Esc Index",43331
2010,"Skeena","GSI Esc",63977
2011,"Skeena","Esc Index",37073
2011,"Skeena","GSI Esc",28420
2012,"Skeena","Esc Index",34024
2012,"Skeena","GSI Esc",21660
2013,"Skeena","Esc Index",26699
2013,"Skeena","GSI Esc",40772
2014,"Skeena","Esc Index",28496
2014,"Skeena","GSI Esc",43164
2015,"Skeena","Esc Index",41658
2015,"Skeena","GSI Esc",55284
2016,"Skeena","Esc Index",34153
2016,"Skeena","GSI Esc",28238
2017,"Skeena","Esc Index",18480
2017,"Skeena","GSI Esc",14715
2018,"Skeena","Esc Index",35005
2018,"Skeena","GSI Esc",35059
2019,"Skeena","Esc Index",24536
2019,"Skeena","GSI Esc",20193
2020,"Skeena","Esc Index",13386
2020,"Skeena","GSI Esc",16243
2021,"Skeena","Esc Index",9724
2021,"Skeena","GSI Esc",20097
2022,"Skeena","Esc Index",NA
